* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:57:18 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: LO
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
7.435845 49.797 1.2935
7.489729 49.902 1.6735
7.544002 50.011 2.0656
7.598669 50.123 2.4690
7.653732 50.238 2.8822
7.709194 50.357 3.3033
7.765058 50.480 3.7297
7.821327 50.607 4.1588
7.878004 50.736 4.5872
7.935091 50.870 5.0114
7.992592 51.006 5.4276
8.050510 51.146 5.8322
8.108847 51.288 6.2211
8.167607 51.433 6.5906
8.226793 51.579 6.9370
8.286408 51.727 7.2568
8.346454 51.876 7.5469
8.406936 52.026 7.8044
8.467856 52.176 8.0271
8.529218 52.326 8.2129
8.591024 52.475 8.3604
8.653278 52.623 8.4686
8.715983 52.770 8.5368
8.779143 52.915 8.5651
8.842760 53.058 8.5535
8.906839 53.200 8.5029
8.971381 53.339 8.4142
9.036392 53.475 8.2888
9.101873 53.609 8.1282
9.167829 53.740 7.9341
9.234263 53.868 7.7086
9.301178 53.994 7.4537
9.368578 54.117 7.1716
9.436467 54.237 6.8645
9.504847 54.355 6.5345
9.573723 54.470 6.1841
9.643099 54.582 5.8152
9.712976 54.692 5.4299
9.783361 54.801 5.0303
9.854255 54.907 4.6182
9.925663 55.012 4.1952
9.997588 55.115 3.7631
10.070035 55.216 3.3231
10.143007 55.317 2.8766
10.216507 55.416 2.4246
10.290540 55.515 1.9679
10.365109 55.614 1.5073
10.440219 55.712 1.0435
10.515873 55.809 0.5765
10.592076 55.907 0.1071
10.668830 56.005 -0.3651
10.746141 56.102 -0.8397
10.824012 56.200 -1.3171
10.902447 56.298 -1.7972
10.981451 56.397 -2.2805
11.061027 56.495 -2.7670
11.141180 56.594 -3.2571
11.221913 56.694 -3.7512
11.303232 56.793 -4.2496
11.385140 56.893 -4.7524
11.467641 56.993 -5.2601
11.550741 57.093 -5.7727
11.634442 57.193 -6.2905
11.718750 57.293 -6.8135
11.803669 57.394 -7.3419
11.889203 57.494 -7.8757
11.975357 57.594 -8.4149
12.062136 57.694 -8.9594
12.149543 57.794 -9.5091
12.237583 57.893 -10.0640
12.326262 57.993 -10.6239
12.415583 58.092 -11.1887
12.505552 58.191 -11.7583
12.596172 58.289 -12.3325
12.687449 58.387 -12.9111
12.779387 58.485 -13.4943
12.871992 58.582 -14.0815
12.965268 58.679 -14.6730
13.059220 58.775 -15.2685
13.153852 58.870 -15.8679
13.249170 58.965 -16.4711
13.345179 59.060 -17.0780
13.441884 59.153 -17.6885
13.539289 59.246 -18.3024
13.637401 59.338 -18.9195
13.736223 59.430 -19.5397
13.835761 59.520 -20.1626
13.936021 59.610 -20.7881
14.037007 59.698 -21.4160
14.138725 59.786 -22.0458
14.241180 59.873 -22.6774
14.344377 59.959 -23.3102
14.448323 60.044 -23.9442
14.553021 60.129 -24.5788
14.658478 60.212 -25.2138
14.764700 60.295 -25.8489
14.871691 60.378 -26.4838
14.979457 60.460 -27.1182
15.088005 60.541 -27.7521
15.197339 60.623 -28.3851
15.307465 60.704 -29.0173
15.418389 60.784 -29.6487
15.530117 60.865 -30.2792
15.642655 60.946 -30.9090
15.756008 61.027 -31.5381
15.870182 61.108 -32.1669
15.985184 61.190 -32.7954
16.101019 61.272 -33.4241
16.217694 61.354 -34.0532
16.335214 61.437 -34.6829
16.453586 61.521 -35.3136
16.572815 61.605 -35.9456
16.692909 61.689 -36.5792
16.813872 61.775 -37.2145
16.935713 61.861 -37.8518
17.058436 61.947 -38.4912
17.182048 62.035 -39.1328
17.306556 62.123 -39.7767
17.431967 62.212 -40.4227
17.558286 62.301 -41.0707
17.685521 62.391 -41.7206
17.813677 62.482 -42.3722
17.942762 62.574 -43.0251
18.072783 62.666 -43.6790
18.203746 62.760 -44.3333
18.335658 62.854 -44.9878
18.468526 62.949 -45.6418
18.602356 63.045 -46.2949
18.737156 63.141 -46.9465
18.872934 63.239 -47.5960
19.009695 63.337 -48.2428
19.147447 63.436 -48.8864
19.286197 63.536 -49.5260
19.425953 63.637 -50.1612
19.566721 63.738 -50.7913
19.708510 63.840 -51.4159
19.851326 63.943 -52.0343
19.995177 64.047 -52.6461
20.140070 64.151 -53.2509
20.286013 64.255 -53.8480
20.433014 64.360 -54.4373
20.581080 64.465 -55.0182
20.730219 64.570 -55.5905
20.880439 64.676 -56.1539
21.031747 64.781 -56.7081
21.184152 64.886 -57.2530
21.337661 64.991 -57.7885
21.492282 65.096 -58.3142
21.648024 65.200 -58.8303
21.804895 65.303 -59.3367
21.962902 65.405 -59.8334
22.122054 65.507 -60.3204
22.282360 65.607 -60.7977
22.443827 65.707 -61.2656
22.606464 65.805 -61.7240
22.770280 65.901 -62.1732
22.935283 65.996 -62.6133
23.101481 66.090 -63.0444
23.268884 66.182 -63.4670
23.437500 66.272 -63.8813
23.607338 66.360 -64.2875
23.778406 66.446 -64.6861
23.950714 66.531 -65.0775
24.124271 66.613 -65.4621
24.299086 66.693 -65.8405
24.475167 66.771 -66.2133
24.652524 66.848 -66.5812
24.831166 66.922 -66.9446
25.011103 66.994 -67.3046
25.192344 67.064 -67.6619
25.374898 67.132 -68.0171
25.558775 67.198 -68.3713
25.743984 67.261 -68.7252
25.930536 67.323 -69.0798
26.118439 67.383 -69.4359
26.307704 67.441 -69.7944
26.498341 67.497 -70.1562
26.690359 67.551 -70.5222
26.883768 67.603 -70.8932
27.078579 67.654 -71.2701
27.274801 67.703 -71.6536
27.472446 67.750 -72.0446
27.671522 67.796 -72.4438
27.872042 67.841 -72.8521
28.074014 67.885 -73.2700
28.277450 67.929 -73.6984
28.482360 67.971 -74.1378
28.688755 68.013 -74.5889
28.896645 68.054 -75.0522
29.106042 68.095 -75.5282
29.316957 68.136 -76.0174
29.529400 68.177 -76.5200
29.743382 68.218 -77.0364
29.958915 68.260 -77.5665
30.176009 68.302 -78.1106
30.394677 68.345 -78.6683
30.614929 68.388 -79.2394
30.836778 68.432 -79.8235
31.060234 68.477 -80.4202
31.285309 68.524 -81.0286
31.512015 68.571 -81.6479
31.740364 68.620 -82.2773
31.970368 68.669 -82.9155
32.202039 68.720 -83.5612
32.435388 68.772 -84.2133
32.670428 68.826 -84.8701
32.907171 68.880 -85.5303
33.145630 68.936 -86.1922
33.385817 68.992 -86.8542
33.627745 69.050 -87.5145
33.871425 69.109 -88.1717
34.116871 69.168 -88.8240
34.364096 69.229 -89.4697
34.613113 69.289 -90.1074
34.863934 69.351 -90.7355
35.116572 69.413 -91.3528
35.371041 69.475 -91.9578
35.627354 69.537 -92.5496
35.885525 69.599 -93.1268
36.145566 69.661 -93.6890
36.407492 69.723 -94.2351
36.671316 69.785 -94.7646
36.937051 69.846 -95.2773
37.204712 69.906 -95.7729
37.474313 69.966 -96.2514
37.745867 70.025 -96.7128
38.019389 70.083 -97.1575
38.294893 70.140 -97.5861
38.572394 70.196 -97.9991
38.851905 70.251 -98.3974
39.133442 70.305 -98.7820
39.417019 70.357 -99.1539
39.702651 70.409 -99.5146
39.990353 70.459 -99.8654
40.280140 70.508 -100.2078
40.572026 70.555 -100.5432
40.866028 70.602 -100.8735
41.162160 70.647 -101.2003
41.460438 70.691 -101.5254
41.760877 70.734 -101.8505
42.063494 70.776 -102.1772
42.368303 70.817 -102.5074
42.675322 70.857 -102.8425
42.984565 70.896 -103.1841
43.296048 70.935 -103.5336
43.609789 70.973 -103.8922
43.925804 71.010 -104.2610
44.244108 71.047 -104.6409
44.564719 71.084 -105.0327
44.887654 71.120 -105.4369
45.212928 71.157 -105.8538
45.540560 71.193 -106.2834
45.870565 71.230 -106.7259
46.202962 71.268 -107.1807
46.537768 71.305 -107.6473
46.875000 71.343 -108.1251
47.214676 71.382 -108.6132
47.556813 71.422 -109.1104
47.901429 71.462 -109.6155
48.248542 71.503 -110.1273
48.598171 71.545 -110.6443
48.950334 71.587 -111.1652
49.305048 71.630 -111.6884
49.662333 71.674 -112.2123
50.022206 71.718 -112.7357
50.384688 71.763 -113.2572
50.749796 71.808 -113.7755
51.117550 71.853 -114.2894
51.487969 71.899 -114.7980
51.861072 71.944 -115.3005
52.236879 71.989 -115.7961
52.615409 72.034 -116.2846
52.996681 72.078 -116.7656
53.380717 72.122 -117.2389
53.767536 72.165 -117.7047
54.157158 72.207 -118.1633
54.549603 72.248 -118.6151
54.944892 72.288 -119.0605
55.343045 72.327 -119.5005
55.744084 72.364 -119.9357
56.148028 72.401 -120.3669
56.554900 72.436 -120.7952
56.964720 72.471 -121.2214
57.377510 72.504 -121.6466
57.793291 72.535 -122.0717
58.212085 72.566 -122.4974
58.633914 72.596 -122.9249
59.058799 72.625 -123.3547
59.486764 72.653 -123.7875
59.917829 72.680 -124.2239
60.352019 72.707 -124.6643
60.789354 72.733 -125.1089
61.229859 72.758 -125.5580
61.673556 72.784 -126.0114
62.120468 72.809 -126.4691
62.570618 72.833 -126.9307
63.024031 72.858 -127.3959
63.480729 72.883 -127.8640
63.940736 72.907 -128.3345
64.404077 72.932 -128.8068
64.870776 72.957 -129.2800
65.340856 72.981 -129.7535
65.814343 73.006 -130.2264
66.291261 73.030 -130.6981
66.771635 73.055 -131.1677
67.255489 73.079 -131.6348
67.742850 73.103 -132.0989
68.233743 73.127 -132.5594
68.728193 73.150 -133.0161
69.226226 73.173 -133.4688
69.727867 73.196 -133.9175
70.233144 73.217 -134.3622
70.742083 73.239 -134.8031
71.254709 73.259 -135.2405
71.771050 73.279 -135.6746
72.291132 73.297 -136.1060
72.814984 73.315 -136.5350
73.342631 73.332 -136.9622
73.874102 73.349 -137.3879
74.409424 73.364 -137.8126
74.948626 73.379 -138.2368
75.491734 73.393 -138.6605
76.038779 73.407 -139.0842
76.589787 73.419 -139.5081
77.144788 73.432 -139.9320
77.703811 73.443 -140.3560
78.266885 73.454 -140.7800
78.834039 73.465 -141.2038
79.405303 73.476 -141.6271
79.980706 73.486 -142.0495
80.560280 73.496 -142.4708
81.144053 73.505 -142.8906
81.732056 73.515 -143.3085
82.324320 73.524 -143.7240
82.920876 73.533 -144.1371
83.521755 73.541 -144.5472
84.126988 73.549 -144.9543
84.736607 73.557 -145.3582
85.350643 73.565 -145.7587
85.969129 73.573 -146.1558
86.592097 73.580 -146.5496
87.219579 73.586 -146.9401
87.851608 73.593 -147.3275
88.488217 73.599 -147.7118
89.129439 73.604 -148.0933
89.775308 73.610 -148.4719
90.425856 73.615 -148.8481
91.081119 73.620 -149.2219
91.741131 73.624 -149.5934
92.405925 73.629 -149.9626
93.075536 73.633 -150.3297
93.750000 73.637 -150.6947
94.429351 73.641 -151.0576
95.113625 73.644 -151.4182
95.802858 73.648 -151.7766
96.497085 73.652 -152.1328
97.196342 73.655 -152.4865
97.900667 73.659 -152.8378
98.610096 73.662 -153.1866
99.324665 73.665 -153.5328
100.044413 73.669 -153.8764
100.769376 73.672 -154.2175
101.499592 73.675 -154.5574
102.235100 73.678 -154.8962
102.975938 73.681 -155.2338
103.722144 73.684 -155.5703
104.473757 73.686 -155.9056
105.230817 73.689 -156.2399
105.993363 73.691 -156.5731
106.761435 73.694 -156.9052
107.535072 73.696 -157.2363
108.314315 73.698 -157.5663
109.099206 73.700 -157.8952
109.889783 73.701 -158.2230
110.686090 73.703 -158.5497
111.488167 73.704 -158.8751
112.296056 73.705 -159.1992
113.109800 73.706 -159.5222
113.929440 73.707 -159.8438
114.755020 73.708 -160.1642
115.586582 73.708 -160.4834
116.424170 73.708 -160.8014
117.267827 73.708 -161.1183
118.117598 73.707 -161.4343
118.973527 73.706 -161.7493
119.835658 73.705 -162.0636
120.704037 73.704 -162.3772
121.578708 73.703 -162.6902
122.459718 73.701 -163.0027
123.347111 73.699 -163.3147
124.240935 73.697 -163.6262
125.141236 73.694 -163.9373
126.048061 73.691 -164.2477
126.961458 73.689 -164.5576
127.881473 73.685 -164.8669
128.808154 73.682 -165.1755
129.741551 73.679 -165.4833
130.681712 73.675 -165.7903
131.628686 73.672 -166.0964
132.582521 73.668 -166.4016
133.543269 73.664 -166.7058
134.510979 73.660 -167.0090
135.485701 73.655 -167.3112
136.467486 73.651 -167.6122
137.456386 73.647 -167.9121
138.452451 73.642 -168.2109
139.455735 73.638 -168.5085
140.466288 73.633 -168.8050
141.484165 73.629 -169.1002
142.509418 73.624 -169.3942
143.542100 73.619 -169.6870
144.582265 73.615 -169.9786
145.629968 73.610 -170.2690
146.685262 73.605 -170.5582
147.748204 73.600 -170.8463
148.818849 73.595 -171.1332
149.897251 73.590 -171.4192
150.983469 73.585 -171.7041
152.077557 73.580 -171.9880
153.179574 73.574 -172.2710
154.289576 73.569 -172.5531
155.407622 73.563 -172.8344
156.533770 73.557 -173.1148
157.668078 73.551 -173.3945
158.810606 73.545 -173.6733
159.961413 73.539 -173.9515
161.120559 73.532 -174.2290
162.288105 73.525 -174.5059
163.464112 73.518 -174.7822
164.648640 73.511 -175.0579
165.841752 73.503 -175.3333
167.043510 73.496 -175.6082
168.253976 73.488 -175.8826
169.473213 73.480 -176.1569
170.701286 73.471 -176.4308
171.938258 73.463 -176.7045
173.184194 73.454 -176.9781
174.439158 73.445 -177.2516
175.703216 73.436 -177.5250
176.976434 73.426 -177.7984
178.258878 73.416 -178.0718
179.550615 73.406 -178.3453
180.851713 73.396 -178.6190
182.162239 73.386 -178.8928
183.482262 73.375 -179.1667
184.811850 73.364 -179.4409
186.151073 73.352 -179.7153
187.500000 73.340 -179.9900
188.858702 73.328 179.7350
190.227250 73.316 179.4598
191.605715 73.303 179.1843
192.994169 73.289 178.9086
194.392685 73.275 178.6327
195.801334 73.261 178.3566
197.220191 73.246 178.0804
198.649330 73.231 177.8043
200.088825 73.215 177.5283
201.538751 73.199 177.2526
202.999184 73.183 176.9772
204.470200 73.165 176.7025
205.951875 73.148 176.4286
207.444287 73.130 176.1558
208.947514 73.111 175.8840
210.461634 73.092 175.6138
