* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:53:40 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RO
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
88.488217 72.725 -148.5505
89.129439 72.732 -148.9867
89.775308 72.739 -149.4209
90.425856 72.746 -149.8531
91.081119 72.751 -150.2834
91.741131 72.757 -150.7117
92.405925 72.762 -151.1381
93.075536 72.766 -151.5624
93.750000 72.770 -151.9848
94.429351 72.773 -152.4052
95.113625 72.776 -152.8234
95.802858 72.779 -153.2395
96.497085 72.780 -153.6533
97.196342 72.782 -154.0648
97.900667 72.782 -154.4737
98.610096 72.783 -154.8801
99.324665 72.782 -155.2836
100.044413 72.781 -155.6843
100.769376 72.780 -156.0820
101.499592 72.778 -156.4781
102.235100 72.776 -156.8726
102.975938 72.773 -157.2652
103.722144 72.770 -157.6556
104.473757 72.766 -158.0439
105.230817 72.762 -158.4297
105.993363 72.757 -158.8129
106.761435 72.751 -159.1933
107.535072 72.746 -159.5708
108.314315 72.739 -159.9451
109.099206 72.733 -160.3163
109.889783 72.725 -160.6840
110.686090 72.718 -161.0481
111.488167 72.710 -161.4085
112.296056 72.702 -161.7650
113.109800 72.693 -162.1175
113.929440 72.684 -162.4657
114.755020 72.675 -162.8097
115.586582 72.666 -163.1492
116.424170 72.656 -163.4842
117.267827 72.646 -163.8146
118.117598 72.637 -164.1403
118.973527 72.627 -164.4615
119.835658 72.617 -164.7779
120.704037 72.607 -165.0899
121.578708 72.597 -165.3974
122.459718 72.587 -165.7005
123.347111 72.577 -165.9994
124.240935 72.568 -166.2944
125.141236 72.559 -166.5855
126.048061 72.549 -166.8731
126.961458 72.541 -167.1573
127.881473 72.532 -167.4384
128.808154 72.524 -167.7166
129.741551 72.516 -167.9921
130.681712 72.509 -168.2653
131.628686 72.501 -168.5362
132.582521 72.495 -168.8052
133.543269 72.488 -169.0726
134.510979 72.483 -169.3384
135.485701 72.477 -169.6031
136.467486 72.472 -169.8668
137.456386 72.468 -170.1298
138.452451 72.464 -170.3923
139.455735 72.460 -170.6547
140.466288 72.456 -170.9171
141.484165 72.453 -171.1799
142.509418 72.451 -171.4432
143.542100 72.449 -171.7074
144.582265 72.447 -171.9726
145.629968 72.445 -172.2392
146.685262 72.444 -172.5072
147.748204 72.443 -172.7770
148.818849 72.442 -173.0487
149.897251 72.442 -173.3226
150.983469 72.441 -173.5988
152.077557 72.441 -173.8776
153.179574 72.441 -174.1592
154.289576 72.441 -174.4436
155.407622 72.442 -174.7311
156.533770 72.442 -175.0219
157.668078 72.442 -175.3161
158.810606 72.442 -175.6137
159.961413 72.442 -175.9149
161.120559 72.442 -176.2197
162.288105 72.442 -176.5282
163.464112 72.442 -176.8404
164.648640 72.441 -177.1563
165.841752 72.440 -177.4759
167.043510 72.439 -177.7991
168.253976 72.437 -178.1259
169.473213 72.435 -178.4561
170.701286 72.433 -178.7897
171.938258 72.430 -179.1266
173.184194 72.426 -179.4666
174.439158 72.422 -179.8097
175.703216 72.417 179.8444
176.976434 72.412 179.4958
178.258878 72.406 179.1447
179.550615 72.399 178.7913
180.851713 72.392 178.4356
182.162239 72.384 178.0778
183.482262 72.375 177.7181
184.811850 72.365 177.3565
186.151073 72.354 176.9932
187.500000 72.343 176.6282
188.858702 72.331 176.2617
190.227250 72.317 175.8938
191.605715 72.303 175.5246
192.994169 72.288 175.1542
194.392685 72.272 174.7827
195.801334 72.254 174.4104
197.220191 72.236 174.0374
198.649330 72.217 173.6639
200.088825 72.196 173.2902
201.538751 72.175 172.9164
202.999184 72.152 172.5429
204.470200 72.128 172.1700
205.951875 72.103 171.7982
207.444287 72.077 171.4276
208.947514 72.050 171.0588
210.461634 72.021 170.6921
211.986726 71.991 170.3280
