* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:41:41 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -8.0 dB
* Note: 
* Measurement: R1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
43.609789 72.363 -98.1124
43.925804 72.409 -98.6051
44.244108 72.455 -99.1014
44.564719 72.499 -99.6021
44.887654 72.542 -100.1074
45.212928 72.585 -100.6180
45.540560 72.627 -101.1345
45.870565 72.668 -101.6571
46.202962 72.709 -102.1860
46.537768 72.750 -102.7213
46.875000 72.790 -103.2631
47.214676 72.830 -103.8110
47.556813 72.870 -104.3651
47.901429 72.909 -104.9248
48.248542 72.949 -105.4896
48.598171 72.989 -106.0590
48.950334 73.029 -106.6320
49.305048 73.069 -107.2081
49.662333 73.109 -107.7862
50.022206 73.149 -108.3655
50.384688 73.190 -108.9449
50.749796 73.231 -109.5237
51.117550 73.272 -110.1007
51.487969 73.313 -110.6750
51.861072 73.353 -111.2460
52.236879 73.394 -111.8126
52.615409 73.435 -112.3744
52.996681 73.476 -112.9305
53.380717 73.516 -113.4807
53.767536 73.556 -114.0245
54.157158 73.595 -114.5616
54.549603 73.634 -115.0920
54.944892 73.672 -115.6158
55.343045 73.710 -116.1329
55.744084 73.747 -116.6437
56.148028 73.783 -117.1486
56.554900 73.819 -117.6478
56.964720 73.853 -118.1420
57.377510 73.887 -118.6318
57.793291 73.920 -119.1177
58.212085 73.952 -119.6005
58.633914 73.983 -120.0807
59.058799 74.014 -120.5591
59.486764 74.044 -121.0363
59.917829 74.073 -121.5129
60.352019 74.101 -121.9896
60.789354 74.129 -122.4667
61.229859 74.157 -122.9448
61.673556 74.184 -123.4242
62.120468 74.211 -123.9052
62.570618 74.237 -124.3878
63.024031 74.263 -124.8724
63.480729 74.289 -125.3587
63.940736 74.315 -125.8468
64.404077 74.341 -126.3363
64.870776 74.367 -126.8271
65.340856 74.393 -127.3188
65.814343 74.419 -127.8111
66.291261 74.445 -128.3035
66.771635 74.471 -128.7954
67.255489 74.498 -129.2866
67.742850 74.524 -129.7766
68.233743 74.550 -130.2649
68.728193 74.576 -130.7512
69.226226 74.602 -131.2352
69.727867 74.628 -131.7166
70.233144 74.653 -132.1952
70.742083 74.679 -132.6710
71.254709 74.704 -133.1439
71.771050 74.728 -133.6139
72.291132 74.752 -134.0812
72.814984 74.776 -134.5458
73.342631 74.800 -135.0081
73.874102 74.822 -135.4681
74.409424 74.845 -135.9264
74.948626 74.867 -136.3830
75.491734 74.888 -136.8383
76.038779 74.909 -137.2924
76.589787 74.929 -137.7457
77.144788 74.949 -138.1983
77.703811 74.969 -138.6504
78.266885 74.988 -139.1021
78.834039 75.006 -139.5535
79.405303 75.025 -140.0045
79.980706 75.043 -140.4552
80.560280 75.061 -140.9055
81.144053 75.078 -141.3552
81.732056 75.095 -141.8044
82.324320 75.112 -142.2527
82.920876 75.129 -142.7001
83.521755 75.145 -143.1464
84.126988 75.161 -143.5915
84.736607 75.177 -144.0352
85.350643 75.193 -144.4774
85.969129 75.209 -144.9180
86.592097 75.224 -145.3570
87.219579 75.239 -145.7943
87.851608 75.253 -146.2299
88.488217 75.268 -146.6639
89.129439 75.282 -147.0962
89.775308 75.295 -147.5269
90.425856 75.309 -147.9561
91.081119 75.322 -148.3837
91.741131 75.335 -148.8099
92.405925 75.347 -149.2347
93.075536 75.359 -149.6582
93.750000 75.371 -150.0803
94.429351 75.382 -150.5011
95.113625 75.393 -150.9205
95.802858 75.404 -151.3384
96.497085 75.415 -151.7548
97.196342 75.425 -152.1697
97.900667 75.435 -152.5829
98.610096 75.444 -152.9942
99.324665 75.454 -153.4037
100.044413 75.463 -153.8112
100.769376 75.471 -154.2166
101.499592 75.480 -154.6215
102.235100 75.488 -155.0258
102.975938 75.496 -155.4293
103.722144 75.504 -155.8319
104.473757 75.511 -156.2336
105.230817 75.518 -156.6342
105.993363 75.525 -157.0337
106.761435 75.532 -157.4319
107.535072 75.539 -157.8289
108.314315 75.545 -158.2244
109.099206 75.551 -158.6184
109.889783 75.557 -159.0110
110.686090 75.562 -159.4019
111.488167 75.568 -159.7910
112.296056 75.573 -160.1783
113.109800 75.578 -160.5637
113.929440 75.584 -160.9469
114.755020 75.589 -161.3280
115.586582 75.594 -161.7068
116.424170 75.599 -162.0833
117.267827 75.603 -162.4572
118.117598 75.608 -162.8285
118.973527 75.613 -163.1971
119.835658 75.618 -163.5632
120.704037 75.624 -163.9265
121.578708 75.629 -164.2872
122.459718 75.634 -164.6453
123.347111 75.640 -165.0009
124.240935 75.645 -165.3540
125.141236 75.651 -165.7050
126.048061 75.658 -166.0539
126.961458 75.664 -166.4009
127.881473 75.671 -166.7463
128.808154 75.678 -167.0904
129.741551 75.686 -167.4333
130.681712 75.694 -167.7753
131.628686 75.702 -168.1168
132.582521 75.712 -168.4580
133.543269 75.721 -168.7993
134.510979 75.731 -169.1409
135.485701 75.742 -169.4832
136.467486 75.753 -169.8265
137.456386 75.765 -170.1713
138.452451 75.778 -170.5178
139.455735 75.791 -170.8664
140.466288 75.805 -171.2176
141.484165 75.819 -171.5717
142.509418 75.834 -171.9291
143.542100 75.850 -172.2902
144.582265 75.866 -172.6553
145.629968 75.883 -173.0249
146.685262 75.900 -173.3993
147.748204 75.917 -173.7788
148.818849 75.935 -174.1639
149.897251 75.953 -174.5547
150.983469 75.971 -174.9517
152.077557 75.989 -175.3551
153.179574 76.007 -175.7650
154.289576 76.025 -176.1818
155.407622 76.043 -176.6055
156.533770 76.061 -177.0363
157.668078 76.078 -177.4741
158.810606 76.094 -177.9193
159.961413 76.111 -178.3715
161.120559 76.126 -178.8308
162.288105 76.141 -179.2970
163.464112 76.155 -179.7699
164.648640 76.168 179.7507
